,z1,z2,human_annotation,subtle_super_clusters,subtle_sub_clusters
257,1.7251534,11.503631,na,3,25
258,0.5813224,9.577353,na,3,0
259,0.5708805,9.55034,na,3,0
260,0.55969673,9.2755995,standing,3,0
261,0.6631764,9.249789,standing,3,0
262,1.093665,8.924873,standing,3,0
263,1.2888708,8.748501,standing,3,51
264,1.3991076,8.678889,standing,3,51
265,1.3901355,8.766843,standing,3,51
266,1.4319518,8.667893,standing,3,51
267,1.3677762,8.637369,standing,3,51
268,1.4339253,8.654326,standing,3,51
269,1.375634,8.723277,standing,3,51
270,1.3325878,8.741204,standing,3,51
271,1.2717274,8.732496,standing,3,51
272,1.1664566,8.736581,standing,3,51
273,1.0489435,8.729618,standing,3,51
274,0.8833737,8.869333,standing,3,0
275,0.67059076,8.981108,standing,3,0
276,0.4631336,9.162272,standing,3,0
277,0.21957013,9.394493,standing,3,0
278,0.035361953,9.612794,standing,3,58
279,-0.08457895,9.86565,standing,3,58
280,-0.55325395,10.284748,standing,3,2
281,-0.97971964,10.7083025,standing,3,32
282,-0.9616805,10.839131,standing,3,32
283,-1.1604527,11.000349,standing,3,32
284,-1.152398,11.327179,na,3,18
285,-1.1635963,11.310463,na,3,18
286,-1.3183702,11.338326,rearing,3,18
287,-1.4984233,11.042276,na,3,18
288,-1.7001282,10.76705,na,3,32
289,-1.9389697,10.414591,walking,3,32
290,-2.2691338,9.867189,walking,3,12
291,-2.6282938,9.216665,walking,3,12
292,-3.02223,8.64088,walking,3,12
293,-3.4235613,8.242564,walking,0,22
294,-3.586426,8.113352,walking,0,22
295,-3.4663801,8.1809845,walking,0,22
296,-3.2534635,8.339382,walking,0,22
297,-2.58938,8.582171,walking,3,12
298,-1.8872178,8.802957,walking,3,12
299,-1.706973,8.607646,walking,0,39
300,-1.6254746,8.347275,walking,0,39
301,-1.649102,6.7436123,na,0,11
302,-1.6290823,6.601403,na,0,11
303,-1.7799244,6.5465627,na,0,11
304,-2.2183068,6.6094065,na,0,11
305,-2.5224905,6.7400384,na,0,6
306,-2.9954531,7.083266,rearing,0,6
307,-3.402328,7.55359,rearing,0,43
308,-3.7263274,7.765982,rearing,0,43
309,-3.773226,7.797399,rearing,0,43
310,-3.7929492,7.840881,rearing,0,43
311,-3.734241,7.792805,rearing,0,43
312,-3.688739,7.9430695,rearing,0,22
313,-3.5232985,8.0925045,rearing,0,22
314,-3.4364038,8.060806,rearing,0,22
315,-3.1566086,8.315662,rearing,0,22
316,-2.3307772,9.290467,rearing,3,12
317,-1.7729456,10.295551,rearing,3,32
318,-1.4857047,10.613461,rearing,3,32
319,-1.2920808,10.655023,rearing,3,32
320,-0.7540529,10.707296,rearing,3,2
321,0.18012047,11.153578,na,3,60
322,0.5322232,11.316433,na,3,60
323,0.66411525,11.379187,walking,3,60
324,0.74418974,11.442855,walking,3,30
325,0.80842745,11.40138,walking,3,30
326,0.8498154,11.417813,walking,3,30
327,0.84801686,11.406263,walking,3,30
328,0.780016,11.466767,walking,3,30
329,0.64041924,11.488835,walking,3,60
330,0.47482908,11.558949,walking,3,60
331,0.35320356,11.544398,walking,3,60
332,0.29169136,11.574189,na,3,60
333,0.11101706,11.562587,na,3,60
334,0.12735713,11.516539,na,3,60
335,0.10564107,11.427629,na,3,60
336,0.10219178,11.381856,na,3,60
337,-0.0643793,11.048992,na,3,2
338,-0.119099386,10.804001,na,3,2
339,-0.13586332,10.841707,na,3,2
340,-0.21304475,10.687887,na,3,2
341,-0.39944032,10.640875,na,3,2
342,-0.73749477,10.611653,walking,3,2
343,-1.1559573,10.804959,walking,3,32
344,-1.6016346,10.959765,na,3,32
345,-1.7828132,10.993828,na,3,32
346,-1.8648739,10.948985,na,3,32
347,-1.9647088,10.847604,na,3,32
348,-2.0791478,10.681237,na,3,32
349,-2.1827562,10.482498,na,3,32
350,-2.2160585,10.309909,na,3,32
351,-2.3348317,9.876817,na,3,12
352,-2.3752987,9.60008,na,3,12
353,-2.3463774,8.571429,na,0,56
354,-2.0479546,8.036242,na,0,56
355,-1.8707922,7.3408713,na,0,29
356,-1.795388,7.097979,na,0,11
357,-1.8085911,6.916301,na,0,11
358,-1.803433,6.658848,na,0,11
359,-1.8134137,6.419661,na,0,11
360,-1.8880389,6.0987387,rearing,0,61
361,-1.874373,6.1071486,rearing,0,61
362,-1.8735734,6.0958896,rearing,0,61
363,-1.9722773,6.002959,rearing,0,38
364,-1.9678475,6.0440683,rearing,0,38
365,-2.1521695,5.935013,rearing,0,38
366,-2.3357322,5.8252974,rearing,0,38
367,-2.5190063,5.8414874,rearing,0,38
368,-2.7799776,6.0013285,rearing,0,6
369,-2.9769175,6.099768,rearing,0,6
370,-3.211383,6.381682,rearing,0,6
371,-3.3582597,6.5481668,rearing,0,43
372,-3.4538207,6.805315,rearing,0,43
373,-3.3999696,7.2305093,rearing,0,43
374,-3.440809,7.320077,rearing,0,43
375,-3.4314628,7.394793,rearing,0,43
376,-3.390421,7.4630256,rearing,0,43
377,-3.4527662,7.6083074,rearing,0,43
378,-3.1892521,7.325819,na,0,6
379,-2.8625379,7.129642,na,0,6
380,-2.4995995,6.775059,na,0,6
381,-2.0776312,6.6913295,na,0,11
382,-1.641196,6.5638614,na,0,11
383,-1.4235519,6.5961757,na,0,11
384,-1.2725029,6.646707,na,0,31
385,-1.2413113,6.7451797,walking,0,13
386,-1.19769,6.8736978,walking,0,13
387,-1.1051226,6.952859,walking,0,13
388,-1.2085515,7.1586337,walking,0,13
389,-1.1920766,7.167421,walking,0,13
390,-1.1561157,7.3618226,walking,0,13
391,0.8323965,10.967651,walking,3,30
392,0.80761594,11.014836,walking,3,30
393,0.87333465,10.958691,na,3,30
394,0.9036656,11.186616,na,3,30
395,0.98142743,11.214208,na,3,30
396,1.1703519,11.388756,na,3,30
397,1.4198359,11.67739,na,3,47
398,1.4710007,11.812004,na,3,47
399,1.5078015,11.876501,na,3,47
400,1.6187893,12.065636,na,3,47
401,1.680412,12.168778,na,3,47
402,1.7006836,12.313431,na,3,47
403,1.7610637,12.689309,na,3,19
404,1.8054209,13.102418,na,3,1
405,1.71501,13.226247,na,3,1
406,1.7861128,13.450787,na,3,1
407,1.8610829,13.557342,walking,3,1
408,1.9196485,13.53789,walking,3,1
409,1.9796741,13.443847,walking,3,1
410,2.10271,13.574253,walking,3,1
411,2.1592934,13.494388,walking,3,1
412,2.0239449,13.59459,walking,3,1
413,2.0995033,13.528899,walking,3,1
414,2.139153,13.527989,walking,3,1
415,2.2127788,13.368921,walking,3,1
416,2.2579477,13.258902,walking,3,19
417,2.3417277,12.982366,walking,3,19
418,-2.1782658,9.182313,walking,3,12
419,-2.2550948,9.052229,walking,3,12
420,-2.2917633,9.050476,walking,3,12
421,-2.3857229,8.963747,na,3,12
422,-2.5489979,8.810005,na,3,12
423,-2.9239445,8.517145,na,3,12
424,-3.0570168,8.02621,na,0,22
425,-3.1212234,8.037588,rearing,0,22
426,-3.141646,7.8719106,rearing,0,22
427,-3.0552,7.759525,rearing,0,22
428,-2.8949049,7.2471046,rearing,0,6
429,-2.618345,6.4668283,rearing,0,6
430,0.35219842,4.6419525,rearing,5,37
431,0.61653703,4.5813246,rearing,5,37
432,0.648663,4.5609956,rearing,5,37
433,0.5565451,4.5609536,rearing,5,37
434,0.6244162,4.5909877,rearing,5,37
435,0.6256697,4.600972,rearing,5,37
436,0.63016814,4.6954155,rearing,5,37
437,0.46609548,4.769151,rearing,5,37
438,-1.6350502,5.393292,rearing,0,23
439,-1.594181,5.332468,rearing,0,23
440,-1.778501,5.3639007,rearing,0,23
441,-1.8472122,5.4420376,rearing,0,23
442,-1.8249338,5.6863523,rearing,0,38
443,-1.9545609,6.019039,rearing,0,38
444,-2.1154406,6.08975,rearing,0,38
445,-2.4691129,6.3751884,rearing,0,38
446,-2.7648032,6.64764,rearing,0,6
447,-2.9236975,6.851376,rearing,0,6
448,-3.0220895,6.954792,rearing,0,6
449,-3.2864854,7.967766,rearing,0,22
450,-3.4089613,8.087025,rearing,0,22
451,-3.3601117,8.190654,rearing,0,22
452,-3.4133296,8.184458,rearing,0,22
453,-3.377431,8.174903,rearing,0,22
454,-3.3887372,8.159336,rearing,0,22
455,-3.3059242,8.197015,rearing,0,22
456,-2.6314814,8.565449,na,3,12
457,-1.6741794,9.651878,na,3,12
458,-1.4697751,10.4696455,na,3,32
459,-1.0460677,11.999641,na,3,5
460,-1.1971732,12.012516,na,3,5
461,-1.3928844,12.105636,na,3,5
462,-1.4398713,12.218568,na,3,5
463,-1.4071108,12.230493,walking,3,5
464,-1.44673,12.187245,walking,3,5
465,-1.4633111,12.243284,walking,3,5
466,-1.4925628,12.32451,walking,3,5
467,-1.4800386,12.235699,walking,3,5
468,-1.2075564,12.22401,walking,3,5
469,-0.87967455,12.28271,walking,3,57
470,-0.24560602,12.412453,walking,3,57
471,0.11455258,12.510086,walking,3,26
472,0.28473532,12.833634,walking,3,26
473,0.34890628,13.029409,walking,3,26
474,0.5486052,13.234732,walking,3,26
475,0.54744864,13.394997,na,3,26
476,0.72429687,13.469759,na,3,26
477,1.0266875,13.634364,na,3,1
478,1.1803268,13.703396,na,3,1
479,1.227907,13.700105,na,3,1
480,1.2480564,13.637774,na,3,1
481,1.3057817,13.541158,na,3,1
482,1.4444665,13.427457,na,3,1
483,1.4871536,13.271897,na,3,1
484,1.433148,13.308846,walking,3,1
485,1.3905457,13.267013,walking,3,1
486,1.3794199,13.186961,walking,3,1
487,-2.227852,8.999779,walking,3,12
488,-2.2852297,8.812482,walking,3,12
489,-2.274496,8.581704,walking,0,56
490,-2.1364634,8.39317,walking,0,56
491,-1.738921,7.936805,na,0,29
492,-1.6134918,6.9180756,na,0,11
493,-1.6440262,6.635665,rearing,0,11
494,-1.7603167,6.4987044,rearing,0,11
495,-1.8161043,6.4305477,rearing,0,11
496,-1.761641,6.512152,rearing,0,11
497,-1.8561264,6.609678,rearing,0,11
498,-1.9303812,6.679843,rearing,0,11
499,-2.1339812,6.76914,rearing,0,11
500,-2.5660446,6.966418,rearing,0,6
501,-2.9201076,7.5370684,rearing,0,6
502,-3.384243,7.7752647,rearing,0,43
503,-3.517418,7.9151073,rearing,0,22
504,-3.4982238,7.923747,rearing,0,22
505,-3.4926693,7.9121394,rearing,0,22
506,-3.2616627,8.117578,rearing,0,22
507,-2.8422945,8.737568,rearing,3,12
508,-2.3743458,9.491012,rearing,3,12
509,-2.170055,9.871322,rearing,3,12
510,-1.9598966,10.908826,rearing,3,32
511,-1.7931585,11.485251,rearing,3,18
512,-1.6214195,12.120069,na,3,5
513,-1.5533289,12.161397,walking,3,5
514,-1.5086926,12.278149,walking,3,5
515,-1.6094269,12.213403,walking,3,5
516,-1.5685043,12.266009,walking,3,5
517,-1.6256845,12.215021,walking,3,5
518,-1.7203912,12.193201,walking,3,5
519,-1.71198,12.0039015,walking,3,5
520,-1.8039012,11.781688,walking,3,5
521,-2.0513163,11.290247,walking,3,18
522,-2.5594444,9.82663,walking,3,12
523,-2.749669,9.513376,walking,3,12
524,-2.854246,9.448636,na,3,12
525,-2.9576948,9.293185,na,3,12
526,-2.9732459,9.25017,na,3,12
527,-3.0005863,9.194779,na,3,12
528,-2.946797,9.261575,na,3,12
529,-2.8708615,9.15666,na,3,12
530,-2.8523302,8.583824,na,3,12
531,-3.5099974,7.306249,na,0,43
532,-4.0609145,6.969144,rearing,0,43
533,-4.2052655,6.9105544,rearing,0,43
534,-4.2018666,6.908707,rearing,0,43
535,-4.209899,6.882763,rearing,0,43
536,-4.174909,6.8770924,rearing,0,43
537,-3.9851284,6.7996125,rearing,0,43
538,-3.6720157,6.5659037,rearing,0,43
539,-2.8886702,6.15803,rearing,0,6
540,-2.4461515,5.943046,rearing,0,38
541,-2.13541,5.855298,rearing,0,38
542,-2.1226254,5.7340665,rearing,0,38
543,-2.0941448,5.75652,rearing,0,38
544,-2.0515997,5.766826,rearing,0,38
545,-2.126828,5.9538736,rearing,0,38
546,-2.228132,6.1782784,rearing,0,38
547,-2.4934921,6.498541,rearing,0,6
548,-2.8870049,6.779952,rearing,0,6
549,-3.2830508,7.1962023,rearing,0,6
550,-3.6645944,7.645853,rearing,0,43
551,-3.777228,7.728166,rearing,0,43
552,-3.784725,7.70622,rearing,0,43
553,-3.837213,7.6207757,rearing,0,43
554,-3.680403,7.709792,rearing,0,43
555,-3.705585,7.586947,rearing,0,43
556,-3.6714742,7.5192432,rearing,0,43
557,-3.586733,7.4148865,rearing,0,43
558,-3.3679192,7.4468417,rearing,0,43
559,-2.793049,8.027757,rearing,0,22
560,-1.7215426,8.32448,na,0,39
561,-1.5433996,8.510387,na,0,39
562,0.87217224,11.714497,na,3,36
563,0.80039227,11.907774,na,3,36
564,0.73052967,12.151499,na,3,36
565,0.7176672,12.551667,na,3,26
566,0.67401904,12.96303,na,3,26
567,0.51908505,13.119035,walking,3,26
568,0.5220504,13.109157,walking,3,26
569,0.47033775,13.118912,walking,3,26
570,0.48076946,13.0583,walking,3,26
571,0.11932136,13.084244,walking,3,26
572,-0.38928872,12.939131,walking,3,57
573,-0.62182015,12.888888,walking,3,57
574,-0.7547265,12.731062,walking,3,57
575,-0.7846336,12.716951,walking,3,57
576,-0.82200044,12.572448,walking,3,57
577,-0.677589,12.460147,walking,3,57
578,-0.5437362,11.886717,walking,3,57
579,-0.52871555,11.649178,walking,3,69
580,-1.0145435,9.556714,walking,0,33
581,-1.1152111,8.928774,walking,0,33
582,-1.2132457,8.517493,na,0,39
583,-1.1688985,8.435205,na,0,39
584,-1.1303332,8.352475,na,0,39
585,-1.0113133,8.269845,na,0,4
586,-0.9107807,8.050367,na,0,4
587,-0.8077189,7.8381515,na,0,4
588,-0.6073143,7.8500676,na,0,4
589,-0.3328294,7.810642,na,0,4
590,0.054832138,8.30773,na,0,9
591,0.017789189,8.411043,na,0,4
592,0.06781389,8.494326,na,3,0
593,0.046596788,8.551596,na,3,0
594,-0.013123883,8.433049,na,0,4
595,-0.19443811,8.465073,na,0,4
596,-0.40618694,8.302976,na,0,4
597,-0.68865,8.195692,rearing,0,4
598,-1.498559,7.948947,rearing,0,29
599,-2.635754,8.044933,rearing,0,56
600,-3.0225334,8.135243,rearing,0,22
601,-3.1799617,8.032202,rearing,0,22
602,-3.0676432,8.016022,rearing,0,22
603,-2.9952111,8.049929,rearing,0,22
604,-2.7227693,8.138965,rearing,0,56
605,-2.0561895,8.330291,rearing,0,39
606,1.9335338,11.96545,rearing,3,47
607,1.9397498,12.053782,rearing,3,49
608,1.9933685,12.1386595,rearing,3,49
609,1.9440521,12.196524,na,3,47
610,1.883364,12.101657,walking,3,47
611,1.8765646,12.316025,walking,3,47
612,1.8355496,12.154658,walking,3,47
613,1.8886207,12.063163,walking,3,47
614,1.8458006,11.871469,walking,3,47
615,1.81333,11.690456,walking,3,47
616,1.8230543,11.567032,walking,3,47
617,1.7857196,11.222951,walking,3,25
618,1.819649,11.061399,walking,3,25
619,1.4690696,10.899783,walking,3,67
620,0.6725102,10.4289665,walking,3,35
621,0.55461186,10.360749,na,3,35
622,0.462874,10.2978735,na,3,35
623,0.13527496,10.391203,na,3,58
624,0.2789983,10.4341755,na,3,35
625,0.16750158,10.538807,na,3,2
626,0.265315,10.679035,na,3,2
627,0.21523403,10.922236,na,3,2
628,0.12368036,11.021173,na,3,2
629,0.15492709,11.24779,na,3,60
630,0.06328191,11.335629,na,3,69
631,-0.35305896,11.544413,na,3,69
632,-0.44026873,11.660164,na,3,69
633,-0.64756393,11.703871,na,3,69
634,-0.8798324,11.855811,na,3,18
635,-0.99973875,11.986141,na,3,5
636,-1.1127752,12.120901,na,3,5
637,-1.2689992,12.182601,na,3,5
638,-1.0539633,12.311315,na,3,5
639,-0.92601705,12.328978,na,3,57
640,-0.66345984,12.382277,na,3,57
641,-0.31137997,12.217403,na,3,57
642,0.15168995,12.373397,na,3,26
643,0.53901136,12.26767,na,3,36
644,0.7963626,12.333886,walking,3,36
645,1.0813679,12.464794,walking,3,45
646,1.3287522,12.556696,walking,3,45
647,1.5181868,12.774043,walking,3,45
648,1.4898129,12.951862,walking,3,45
649,1.571895,13.404008,walking,3,1
650,1.6443999,13.55693,na,3,1
651,1.6244048,13.571171,na,3,1
652,1.6786427,13.606442,na,3,1
653,1.637249,13.60762,na,3,1
654,1.632601,13.598455,rearing,3,1
655,1.638466,13.448047,rearing,3,1
656,1.4662336,13.36046,rearing,3,1
657,0.7006211,12.018543,rearing,3,36
658,0.47173768,11.734448,rearing,3,36
659,0.41296837,11.683214,rearing,3,60
660,0.29923326,11.740515,rearing,3,36
661,0.0883206,11.810125,rearing,3,36
662,-0.012740261,11.782197,na,3,36
663,-0.21847178,11.725243,na,3,69
664,-0.3130228,11.826462,na,3,69
665,-0.4935725,11.938159,na,3,57
666,-1.0130398,11.937054,na,3,18
667,-1.1433219,12.029576,na,3,5
668,-1.237254,11.980731,walking,3,5
669,-1.3660766,12.011905,walking,3,5
670,-1.5162971,11.847489,walking,3,5
671,-1.5885489,11.827299,walking,3,5
672,-1.6191903,11.714556,walking,3,5
